question,region,score_1,score_2,score_3,score_4,score_5
What is the name of the traditional butter dish served in South Saudi Arabia?,South,0.8737,0.8642,0.746,0.7382,0.7368
In which region of Saudi Arabia is juniper wood (“Arar”) traditionally used in architecture?,South,0.9307,0.9104,0.6358,0.6017,0.6012
What is the most expensive part of a traditional Saudi Janbiya (dagger) that determines its price?,South,0.9291,0.9275,0.6348,0.6326,0.607
What is the most common traditional craft in Najran city?,South,0.8244,0.7841,0.6172,0.6095,0.5963
What material is traditionally used to make the “Janbiya” dagger in Najran?,South,0.8831,0.8792,0.6466,0.641,0.6253
"What is the name given to the artist who paints Al-Qatt Al-Asiri, the traditional Asiri wall art?",South,0.9103,0.9101,0.7538,0.7453,0.5009
"What describes “Al-Qatt Al-Asiri,” a traditional art form in the Asir region?",South,0.8853,0.8801,0.8004,0.797,0.651
What are the most common greeting phrases in Al-Baha?,South,0.8564,0.8481,0.5955,0.4203,0.4199
“Beit Al-Esha” is a traditional architectural style. Which region in Saudi Arabia is known for this style?,South,0.9274,0.9181,0.6385,0.6031,0.6028
In which region of Saudi Arabia do traditional sitting rooms (majalis) include a stone fireplace used for cooking and preparing coffee in front of guests?,South,0.9351,0.9333,0.6657,0.6533,0.6342
"In which area is the “vegetative style” architecture, known as “Al-Ishash,” commonly found in the Asir region due to its ease of construction?",South,0.9212,0.9065,0.6475,0.6446,0.5963
The “Del’a Dance” is a traditional dance in Saudi Arabia. It is associated with which region?,South,0.9163,0.9077,0.6873,0.6863,0.6817
"What is the form of singing performed individually, relying on creative embellishments, and usually performed during travels in South Saudi Arabia?",South,0.9066,0.8945,0.6077,0.6077,0.6048
The “Sword Dance” is a traditional folk dance in Saudi Arabia associated with the people of which region?,South,0.9047,0.8659,0.7142,0.674,0.6739
The “Janabi Dance” is a traditional folk dance popular in which region of Saudi Arabia?,South,0.9105,0.7835,0.7401,0.6902,0.6784
In which region of Saudi Arabia is the “Al-Azawi Dance” primarily performed?,South,0.8926,0.8708,0.76,0.7108,0.6886
What is the name of the traditional food served to guests in the afternoon in South Saudi Arabia?,South,0.8664,0.8494,0.7604,0.7517,0.7426
What is the traditional oven or pot used for baking in South Saudi Arabia?,South,0.9214,0.8865,0.6977,0.6951,0.69
What is the name of the traditional folklore for weddings and greeting guests from different tribes in South Saudi Arabia?,South,0.9032,0.8898,0.651,0.6051,0.5997
"What does the guest room consist of in Jazan, Saudi Arabia?",South,0.8115,0.8074,0.6503,0.6481,0.5724
Is it acceptable in South Saudi Arabia for the host to ask the guest about his updates before serving coffee?,South,0.9144,0.8874,0.4859,0.4788,0.4433
What is correct about Al-Masoub and Al-Areeqa?,South,0.5804,0.4529,0.4201,0.3621,0.362
What are the other names for “Al-Mashghootha” in Saudi culture?,South,0.8182,0.7062,0.6505,0.6334,0.6256
What are the distinctive features of traditional jewelry from the southern region of Saudi Arabia?,South,0.8962,0.7163,0.712,0.6845,0.6816
Which of the following are traditional crafts known in the Al-Baha region?,South,0.8471,0.6836,0.6689,0.6368,0.6287
Which of the following are traditional crafts known in the Asir region?,South,0.8202,0.6777,0.674,0.6723,0.6669
"Traditional Saudi Arabian daggers, known as “Janabi,” come in various forms. Which of the following are considered authentic Saudi types?",South,0.9198,0.6214,0.6145,0.6099,0.607
In which region of Saudi Arabia is “Al-Mukammam” considered a traditional women’s garment?,South,0.936,0.802,0.7536,0.7536,0.7507
The “Zamil” is an ancient folk singing art traditionally known in which regions of Saudi Arabia?,South,0.8998,0.6685,0.6397,0.6218,0.6199
The “Southern Ardah” is a traditional dance performed in which regions of southwestern Saudi Arabia?,South,0.8994,0.745,0.7378,0.731,0.7293
What is the “Al-Azawi Dance” known for?,South,0.747,0.6396,0.623,0.5435,0.4894
What is the most common dish in West Saudi Arabia?,West,0.86,0.8372,0.8129,0.8054,0.8021
What is the most common sweet in West Saudi Arabia?,West,0.8502,0.8493,0.7565,0.7215,0.7179
What is the common traditional street food in West Saudi Arabia?,West,0.8417,0.8319,0.7794,0.7667,0.7501
What is the most common breakfast dish in West Saudi Arabia?,West,0.8427,0.834,0.8035,0.8011,0.7644
What is the common traditional drink in West Saudi Arabia?,West,0.8443,0.8205,0.8011,0.7971,0.7521
What is the traditional clothing for men in West Saudi Arabia?,West,0.8644,0.8468,0.8395,0.8337,0.7742
What is the traditional clothing for women in West Saudi Arabia?,West,0.8841,0.8784,0.8202,0.8003,0.7636
What is the traditional breakfast dish eaten after Eid in West Saudi Arabia?,West,0.8927,0.8604,0.7394,0.7303,0.719
What are the common traditional dances in West Saudi Arabia?,West,0.8921,0.883,0.7929,0.7907,0.7197
What is the common traditional music in West Saudi Arabia?,West,0.8801,0.8776,0.807,0.7997,0.7739
What is the common traditional craft in West Saudi Arabia?,West,0.8632,0.8556,0.8397,0.7382,0.7381
What is the name of the items the bride buys for her wedding in West Saudi Arabia?,West,0.785,0.785,0.6575,0.6552,0.6306
What is the average amount of dowry presented to the wife in Saudi Arabia?,West,0.8766,0.855,0.5343,0.5223,0.5189
"How can ""Hubb Soup"" be classified as a traditional Saudi stew, and what complementary foods are served with it?",West,0.934,0.933,0.6069,0.6039,0.5997
What is the name of a common drink in Western Saudi Arabia during Ramadan?,West,0.8382,0.8382,0.7443,0.7432,0.7341
What type of rice turns brown and is always served with fried or grilled fish in West Saudi Arabia?,West,0.9058,0.8934,0.5869,0.5831,0.5699
What are the most famous pastries in the Western region of Saudi Arabia?,West,0.8937,0.8727,0.7328,0.72,0.7183
"What is the name of a famous spice blend in Madinah, Saudi Arabia, known for its distinctive flavor and essential use in local dishes?",West,0.9157,0.9069,0.6359,0.6266,0.6266
What is the name of a common drink in Western Saudi Arabia in winter?,West,0.8326,0.8326,0.776,0.7551,0.7549
What is the method of greeting a guest in the Western region?,West,0.7791,0.7636,0.5195,0.4935,0.4408
What is the financial amount that the mother of the bride receives upon the marriage contract?,West,0.7747,0.7335,0.4423,0.4294,0.2701
What is the name of the surah in the Quran that is read to declare engagement in West Saudi Arabia?,West,0.7932,0.7932,0.5119,0.507,0.4982
What is the name of the event that happens to the bride before the wedding in West Saudi Arabia?,West,0.835,0.8289,0.6285,0.6285,0.5245
What popular drink is usually served to celebrate the Islamic New Year in West Saudi Arabia?,West,0.8497,0.8459,0.7084,0.7064,0.7064
What is the traditional breakfast dish in Eid Al-Adha?,West,0.8219,0.8133,0.74,0.7039,0.6955
What is the name of a family gathering that happens before Ramadan?,West,0.8253,0.8253,0.476,0.476,0.4502
Where do the people of Mecca usually go the night the pilgrims spend the night at Arafat?,West,0.839,0.8295,0.5257,0.5087,0.4879
Which Saudi province is famous for rose distillation and producing rose water?,West,0.8643,0.8611,0.5334,0.5041,0.5016
"What is the name of the person responsible for assisting pilgrims coming from outside Saudi Arabia, guiding them from their arrival in Mecca until their departure?",West,0.8721,0.8614,0.6085,0.6032,0.4713
What is the name of the traditional job in Mecca that involved providing water to pilgrims and worshippers?,West,0.8833,0.8813,0.6047,0.596,0.5229
Which regions of Saudi Arabia is the game of Carrom specifically known?,West,0.8929,0.8929,0.6478,0.645,0.6236
"What is the ""Kasrah"" in the context of the ""Harabi Dance""?",West,0.8728,0.8687,0.4981,0.4375,0.4304
"In which region of Saudi Arabia is the ""Al-Majroor"" dance a popular folkloric tradition?",West,0.9081,0.9062,0.7896,0.7792,0.7581
"Where is the dance ""Al-Ashouri"" famous in Saudi Arabia?",West,0.8561,0.8533,0.7384,0.7325,0.6908
What is the most common dish in the west of Saudi Arabia?,West,0.869,0.8405,0.8158,0.8139,0.8127
What is the most popular sweet in the west of Saudi Arabia?,West,0.8521,0.8165,0.7447,0.716,0.7124
What is the most common traditional street food in the west of Saudi Arabia?,West,0.8506,0.8463,0.7962,0.785,0.7687
What is the most common breakfast dish in the west of Saudi Arabia?,West,0.8488,0.8438,0.8071,0.8019,0.7729
What is the most common traditional drink in the west of Saudi Arabia?,West,0.8609,0.8176,0.8036,0.8,0.7518
What is the traditional breakfast dish during Eid Al-Fitr in the west of Saudi Arabia?,West,0.905,0.8617,0.7364,0.736,0.7338
What is the traditional clothing for men in the west of Saudi Arabia?,West,0.8712,0.8516,0.8441,0.8416,0.7772
What is the traditional clothing for women in the west of Saudi Arabia?,West,0.8886,0.8859,0.8247,0.803,0.7637
What are the common traditional dances in the west of Saudi Arabia?,West,0.9005,0.8951,0.8054,0.8034,0.7303
What is the common traditional music in central Saudi Arabia?,West,0.8794,0.8565,0.7737,0.7635,0.7484
What is the common traditional craft in the west of Saudi Arabia?,West,0.8691,0.8606,0.8412,0.7448,0.7447
What is the name of the items the bride buys for her wedding in west Saudi Arabia?,West,0.785,0.785,0.6575,0.6552,0.6306
What is the average amount of dowry presented to the wife in Saudi Arabia?,West,0.8766,0.855,0.5343,0.5223,0.5189
What type of rice turns brown and is always served with fried or grilled fish in West Saudi Arabia?,West,0.9058,0.8934,0.5869,0.5831,0.5699
What is the name of a common drink in Western Saudi Arabia during Ramadan?,West,0.8382,0.8382,0.7443,0.7432,0.7341
"What is the name of a famous spice blend in Madinah, Saudi Arabia, known for its distinctive flavor and essential use in local dishes?",West,0.9157,0.9069,0.6359,0.6266,0.6266
What is the name of a common drink in Western Saudi Arabia in winter?,West,0.8326,0.8326,0.776,0.7551,0.7549
"How can “Hubb Soup” be classified as a traditional Saudi stew, and what complementary foods are served with it?",West,0.9327,0.9326,0.5972,0.5968,0.5925
What are the most famous pastries in the Western region of Saudi Arabia?,West,0.8937,0.8727,0.7328,0.72,0.7183
What popular drink is usually served to celebrate the Islamic New Year in West Saudi Arabia?,West,0.8497,0.8459,0.7084,0.7064,0.7064
What is the name of a family gathering that happens before Ramadan?,West,0.8253,0.8253,0.476,0.476,0.4502
What is the traditional breakfast dish in Eid Al-Adha?,West,0.8219,0.8133,0.74,0.7039,0.6955
What is the name of the traditional job in Mecca that involved providing water to pilgrims and worshippers?,West,0.8833,0.8813,0.6047,0.596,0.5229
Which Saudi province is famous for rose distillation and producing rose water?,West,0.8643,0.8611,0.5334,0.5041,0.5016
"What is the name of the person responsible for assisting pilgrims coming from outside Saudi Arabia, guiding them from their arrival in Mecca until their departure?",West,0.8721,0.8614,0.6085,0.6032,0.4713
Which regions of Saudi Arabia is the game of Carrom specifically known?,West,0.8929,0.8929,0.6478,0.645,0.6236
What is the “Kasrah” in the context of the “Harabi Dance”?,West,0.8765,0.8743,0.5081,0.444,0.4367
In which region of Saudi Arabia is the “Al-Majroor” dance a popular folkloric tradition?,West,0.9088,0.9082,0.7903,0.7799,0.7573
Where is the dance “Al-Ashouri” famous in Saudi Arabia?,West,0.8617,0.8574,0.7443,0.7394,0.696
What is the method of greeting a guest in the Western region?,West,0.7791,0.7636,0.5195,0.4935,0.4408
What is the name of the event that happens to the bride before the wedding in West Saudi Arabia?,West,0.835,0.8289,0.6285,0.6285,0.5245
What is the name of the surah in the Quran that is read to declare engagement in West Saudi Arabia?,West,0.7932,0.7932,0.5119,0.507,0.4982
What is the financial amount that the mother of the bride receives upon the marriage contract?,West,0.7747,0.7335,0.4423,0.4294,0.2701
Where do the people of Mecca usually go the night the pilgrims spend the night at Arafat during the Hajj days?,West,0.8623,0.809,0.5284,0.5072,0.4729
What color does the red “Mabroom” date tend to?,West,0.7592,0.2659,0.2659,0.2656,0.2608
What is the name of the dish prepared by the people of Medina for Eid breakfast?,West,0.8305,0.6762,0.6564,0.6189,0.6024
What accompanies the “Harabi Dance”?,West,0.7323,0.6069,0.5982,0.5054,0.4996
The “Yalli Dance” is a traditional group folk dance known in the western region of Saudi Arabia. In which areas is it performed?,West,0.9345,0.718,0.718,0.7015,0.7007
What is the traditional attire worn by the “Jassis” in Saudi Arabia?,West,0.866,0.6774,0.677,0.6669,0.6603
What is the common traditional craft in the west of Saudi Arabia?,West,0.8691,0.8606,0.8412,0.7448,0.7447
