question,expected_region,file,question_type,domain,category,top_score,max_score,average_score,num_results
Is it acceptable for the host to eat with the guests in Northern Saudi hospitality?,North,NORTH.csv,MCQ (one correct),Specialized,Food,0.8922,0.8922,0.7085,5
What architectural planning system does traditional architecture in Al-Jouf rely on?,North,NORTH.csv,MCQ (one correct),Specialized,Architecture,0.8906,0.8906,0.3932,5
"What happens during ""Al-Shabbat"" in Northern Saudi Arabia?",North,NORTH.csv,MCQ (multiple correct),Specialized,Entertainment,0.8372,0.8372,0.5881,5
"What is ""Khashrat Al-Eid"" in Hail, and how is it celebrated?",North,NORTH.csv,MCQ (multiple correct),Specialized,Entertainment,0.8767,0.8767,0.5035,5
"What is a common dish served in Hail during Eid, showcasing housewives’ cooking skills?",North,NORTH.csv,MCQ (one correct),Specialized,Food,0.8562,0.8562,0.5933,5
How do families in Hail ensure everyone in the neighborhood tastes each other’s food during Eid breakfast?,North,NORTH.csv,MCQ (one correct),Specialized,Food,0.8652,0.8652,0.502,5
What are common gathering places in Northern Saudi Arabia?,North,NORTH.csv,MCQ (multiple correct),Specialized,Food,0.808,0.808,0.7228,5
What is the most common dish in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Common,Food,0.8663,0.8663,0.8218,5
What is the most common sweet in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Common,Food,0.8605,0.8605,0.7772,5
What is the common traditional street food in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Common,Food,0.8571,0.8571,0.7873,5
What is the most common breakfast dish in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Common,Food,0.869,0.869,0.8153,5
What is the common traditional drink in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Common,Food,0.8521,0.8521,0.7418,5
What is the traditional clothing for men in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Common,Clothes,0.8852,0.8852,0.8283,5
What is the traditional clothing for women in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Common,Clothes,0.8771,0.8771,0.8304,5
What is the traditional breakfast dish during Eid Al-Fitr in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Common,Celebration,0.8735,0.8735,0.8004,5
What are the common traditional dances in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Common,Celebration,0.8698,0.8698,0.7741,5
What is the common traditional music in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Common,Entertainment,0.873,0.873,0.7973,5
What is the common traditional craft in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Common,Crafts and Work,0.8647,0.8647,0.7799,5
What is the name of the items the bride buys for her wedding in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Common,Dating,0.7869,0.7869,0.692,5
What is the average amount of dowry presented to the wife in Saudi Arabia?,South,SOUTH.csv,Open-ended,Common,Dating,0.8389,0.8389,0.6261,5
What is the name of the traditional butter dish served in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Specialized,Food,0.8737,0.8737,0.7918,5
"What is a popular dish known in the southern region of Saudi Arabia, served hot with honey, ghee, and dates?",South,SOUTH.csv,Open-ended,Specialized,Food,0.892,0.892,0.8098,5
In which regions of Saudi Arabia is the traditional dish “Haneeth” popular?,South,SOUTH.csv,Open-ended,Specialized,Food,0.8999,0.8999,0.8293,5
What is the name of the traditional food served to guests in the afternoon in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Specialized,Food,0.8664,0.8664,0.7941,5
What is the traditional oven or pot used for baking in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Specialized,Food,0.9214,0.9214,0.7781,5
In which region of Saudi Arabia is “Al-Maghsh” considered a traditional dish?,South,SOUTH.csv,Open-ended,Specialized,Food,0.9104,0.9104,0.8291,5
What is the name of the traditional clothes in Tehama in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Specialized,Clothes,0.8685,0.8685,0.8112,5
What are the most common greeting phrases in Al-Baha?,South,SOUTH.csv,Open-ended,Specialized,Languages and Communication,0.8564,0.8564,0.628,5
What is the name of the traditional folklore performed at weddings and for greeting guests from different tribes in South Saudi Arabia?,South,SOUTH.csv,Open-ended,Specialized,Dating,0.8837,0.8837,0.7268,5
“Beit Al-Esha” is a traditional architectural style. Which region in Saudi Arabia is known for this style?,South,SOUTH.csv,Open-ended,Specialized,Crafts and Work,0.9274,0.9274,0.738,5
"In which area is the “vegetative style” architecture, known as “Al-Ishash,” commonly found in the Asir region due to its ease of construction?",South,SOUTH.csv,Open-ended,Specialized,Crafts and Work,0.9212,0.9212,0.7432,5
In which region of Saudi Arabia is juniper wood (“Arar”) traditionally used in architecture?,South,SOUTH.csv,Open-ended,Specialized,Crafts and Work,0.9307,0.9307,0.736,5
"What does the guest room consist of in Jazan, Saudi Arabia?",South,SOUTH.csv,Open-ended,Specialized,Crafts and Work,0.8115,0.8115,0.6979,5
In which region of Saudi Arabia do traditional sitting rooms (majalis) include a stone fireplace used for cooking and preparing coffee in front of guests?,South,SOUTH.csv,Open-ended,Specialized,Crafts and Work,0.9351,0.9351,0.7643,5
The “Sword Dance” is a traditional folk dance in Saudi Arabia associated with which region?,South,SOUTH.csv,Open-ended,Specialized,Entertainment,0.9075,0.9075,0.7761,5
"What is the form of singing performed individually in South Saudi Arabia, relying on creative embellishments, often during travels?",South,SOUTH.csv,Open-ended,Specialized,Entertainment,0.9228,0.9228,0.7603,5
The “Del’a Dance” is a traditional dance in Saudi Arabia associated with which region?,South,SOUTH.csv,Open-ended,Specialized,Entertainment,0.8996,0.8996,0.7814,5
The “Janbiya Dance” is a traditional folk dance popular in which region of Saudi Arabia?,South,SOUTH.csv,Open-ended,Specialized,Entertainment,0.8951,0.8951,0.7503,5
In which region of Saudi Arabia is the “Al-Azawi Dance” primarily performed?,South,SOUTH.csv,Open-ended,Specialized,Entertainment,0.8926,0.8926,0.7846,5
Is it acceptable in South Saudi Arabia for the host to ask the guest about his updates before serving coffee?,South,SOUTH.csv,Open-ended,Specialized,Languages and Communication,0.9144,0.9144,0.642,5
"What is the name given to the artist who paints Al-Qatt Al-Asiri, the traditional Asiri wall art?",South,SOUTH.csv,Open-ended,Specialized,Crafts and Work,0.9103,0.9103,0.7641,5
What is the most expensive part of a traditional Saudi Janbiya (dagger) that determines its price?,South,SOUTH.csv,Open-ended,Specialized,Crafts and Work,0.9291,0.9291,0.7462,5
What material is traditionally used to make the “Janbiya” dagger in Najran?,South,SOUTH.csv,Open-ended,Specialized,Crafts and Work,0.8831,0.8831,0.7351,5
"What describes “Al-Qatt Al-Asiri,” a traditional art form in the Asir region?",South,SOUTH.csv,Open-ended,Specialized,Crafts and Work,0.8853,0.8853,0.8028,5
What is the most common traditional craft in Najran city?,South,SOUTH.csv,Open-ended,Specialized,Crafts and Work,0.8244,0.8244,0.6863,5
What is the most common dish in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Common,Food,0.8663,0.8663,0.8218,5
What is the most popular sweet in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Common,Food,0.8619,0.8619,0.7683,5
What is the most common traditional street food in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Common,Food,0.8587,0.8587,0.7999,5
What is the most common breakfast dish in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Common,Food,0.869,0.869,0.8153,5
What is the most common traditional drink in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Common,Food,0.8649,0.8649,0.7505,5
What is the traditional clothing for men in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Common,Clothes,0.8852,0.8852,0.8283,5
What is the traditional clothing for women in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Common,Clothes,0.8771,0.8771,0.8304,5
What is the traditional breakfast dish during Eid Al-Fitr in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Common,Celebration,0.8735,0.8735,0.8004,5
What are the common traditional dances in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Common,Celebration,0.8698,0.8698,0.7741,5
What is the common traditional music in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Common,Entertainment,0.873,0.873,0.7973,5
What is the common traditional craft in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Common,Crafts and Work,0.8647,0.8647,0.7799,5
What is the name of the items the bride buys for her wedding in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Common,Dating,0.7869,0.7869,0.692,5
What is the average amount of dowry presented to the wife in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Common,Dating,0.8668,0.8668,0.6546,5
In which region of Saudi Arabia is “Al-Maghsh” considered a traditional dish?,South,SOUTH.csv,MCQ (one correct),Specialized,Food,0.9104,0.9104,0.8291,5
“Al-Mashghoutha” is a traditional Saudi dish. Which region is known for preparing it?,South,SOUTH.csv,MCQ (one correct),Specialized,Food,0.9527,0.9527,0.8387,5
In which regions of Saudi Arabia is the traditional dish “Haneeth” popular?,South,SOUTH.csv,MCQ (one correct),Specialized,Food,0.8999,0.8999,0.8293,5
“Al-Haneeth” is a dish famous in which region of Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Specialized,Food,0.898,0.898,0.7973,5
What is the name of the traditional butter dish served in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Specialized,Food,0.8737,0.8737,0.7918,5
In which region of Saudi Arabia is juniper wood (“Arar”) traditionally used in architecture?,South,SOUTH.csv,MCQ (multiple correct),Specialized,Crafts and Work,0.9307,0.9307,0.736,5
What is the most expensive part of a traditional Saudi Janbiya (dagger) that determines its price?,South,SOUTH.csv,MCQ (one correct),Specialized,Crafts and Work,0.9291,0.9291,0.7462,5
What is the most common traditional craft in Najran city?,South,SOUTH.csv,MCQ (one correct),Specialized,Crafts and Work,0.8244,0.8244,0.6863,5
What material is traditionally used to make the “Janbiya” dagger in Najran?,South,SOUTH.csv,MCQ (one correct),Specialized,Crafts and Work,0.8831,0.8831,0.7351,5
"What is the name given to the artist who paints Al-Qatt Al-Asiri, the traditional Asiri wall art?",South,SOUTH.csv,MCQ (one correct),Specialized,Crafts and Work,0.9103,0.9103,0.7641,5
"What describes “Al-Qatt Al-Asiri,” a traditional art form in the Asir region?",South,SOUTH.csv,MCQ (one correct),Specialized,Crafts and Work,0.8853,0.8853,0.8028,5
What are the most common greeting phrases in Al-Baha?,South,SOUTH.csv,MCQ (one correct),Specialized,Languages and Communication,0.8564,0.8564,0.628,5
“Beit Al-Esha” is a traditional architectural style. Which region in Saudi Arabia is known for this style?,South,SOUTH.csv,MCQ (one correct),Specialized,Crafts and Work,0.9274,0.9274,0.738,5
In which region of Saudi Arabia do traditional sitting rooms (majalis) include a stone fireplace used for cooking and preparing coffee in front of guests?,South,SOUTH.csv,MCQ (one correct),Specialized,Crafts and Work,0.9351,0.9351,0.7643,5
"In which area is the “vegetative style” architecture, known as “Al-Ishash,” commonly found in the Asir region due to its ease of construction?",South,SOUTH.csv,MCQ (one correct),Specialized,Crafts and Work,0.9212,0.9212,0.7432,5
The “Del’a Dance” is a traditional dance in Saudi Arabia. It is associated with which region?,South,SOUTH.csv,MCQ (one correct),Specialized,Entertainment,0.9163,0.9163,0.7759,5
"What is the form of singing performed individually, relying on creative embellishments, and usually performed during travels in South Saudi Arabia?",South,SOUTH.csv,MCQ (one correct),Specialized,Entertainment,0.9066,0.9066,0.7242,5
The “Sword Dance” is a traditional folk dance in Saudi Arabia associated with the people of which region?,South,SOUTH.csv,MCQ (one correct),Specialized,Entertainment,0.9047,0.9047,0.7666,5
The “Janabi Dance” is a traditional folk dance popular in which region of Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Specialized,Entertainment,0.9105,0.9105,0.7605,5
In which region of Saudi Arabia is the “Al-Azawi Dance” primarily performed?,South,SOUTH.csv,MCQ (one correct),Specialized,Entertainment,0.8926,0.8926,0.7846,5
What is the name of the traditional food served to guests in the afternoon in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Specialized,Food,0.8664,0.8664,0.7941,5
What is the traditional oven or pot used for baking in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Specialized,Food,0.9214,0.9214,0.7781,5
What is the name of the traditional folklore for weddings and greeting guests from different tribes in South Saudi Arabia?,South,SOUTH.csv,MCQ (one correct),Specialized,Dating,0.9032,0.9032,0.7298,5
"What does the guest room consist of in Jazan, Saudi Arabia?",South,SOUTH.csv,MCQ (one correct),Specialized,Crafts and Work,0.8115,0.8115,0.6979,5
Is it acceptable in South Saudi Arabia for the host to ask the guest about his updates before serving coffee?,South,SOUTH.csv,MCQ (one correct),Specialized,Languages and Communication,0.9144,0.9144,0.642,5
What is correct about Al-Masoub and Al-Areeqa?,South,SOUTH.csv,MCQ (multiple correct),Specialized,Food,0.5804,0.5804,0.4355,5
What are the other names for “Al-Mashghootha” in Saudi culture?,South,SOUTH.csv,MCQ (multiple correct),Specialized,Food,0.8182,0.8182,0.6868,5
What are the distinctive features of traditional jewelry from the southern region of Saudi Arabia?,South,SOUTH.csv,MCQ (multiple correct),Specialized,Crafts and Work,0.8962,0.8962,0.7381,5
Which of the following are traditional crafts known in the Al-Baha region?,South,SOUTH.csv,MCQ (multiple correct),Specialized,Crafts and Work,0.8471,0.8471,0.693,5
Which of the following are traditional crafts known in the Asir region?,South,SOUTH.csv,MCQ (multiple correct),Specialized,Crafts and Work,0.8202,0.8202,0.7022,5
"Traditional Saudi Arabian daggers, known as “Janabi,” come in various forms. Which of the following are considered authentic Saudi types?",South,SOUTH.csv,MCQ (multiple correct),Specialized,Crafts and Work,0.9198,0.9198,0.6745,5
In which region of Saudi Arabia is “Al-Mukammam” considered a traditional women’s garment?,South,SOUTH.csv,MCQ (one correct),Specialized,Clothes,0.936,0.936,0.7992,5
The “Zamil” is an ancient folk singing art traditionally known in which regions of Saudi Arabia?,South,SOUTH.csv,MCQ (multiple correct),Specialized,Entertainment,0.8998,0.8998,0.6899,5
The “Southern Ardah” is a traditional dance performed in which regions of southwestern Saudi Arabia?,South,SOUTH.csv,MCQ (multiple correct),Specialized,Entertainment,0.8994,0.8994,0.7685,5
What is the “Al-Azawi Dance” known for?,South,SOUTH.csv,MCQ (multiple correct),Specialized,Entertainment,0.747,0.747,0.6085,5
What is the most common dish in West Saudi Arabia?,West,WEST.csv,Open-ended,Common,Food,0.86,0.86,0.8235,5
What is the most common sweet in West Saudi Arabia?,West,WEST.csv,Open-ended,Common,Food,0.8502,0.8502,0.7791,5
What is the common traditional street food in West Saudi Arabia?,West,WEST.csv,Open-ended,Common,Food,0.8417,0.8417,0.794,5
What is the most common breakfast dish in West Saudi Arabia?,West,WEST.csv,Open-ended,Common,Food,0.8427,0.8427,0.8092,5
What is the common traditional drink in West Saudi Arabia?,West,WEST.csv,Open-ended,Common,Food,0.8443,0.8443,0.803,5
What is the traditional clothing for men in West Saudi Arabia?,West,WEST.csv,Open-ended,Common,Clothes,0.8644,0.8644,0.8317,5
What is the traditional clothing for women in West Saudi Arabia?,West,WEST.csv,Open-ended,Common,Clothes,0.8841,0.8841,0.8293,5
What is the traditional breakfast dish eaten after Eid in West Saudi Arabia?,West,WEST.csv,Open-ended,Common,Celebration,0.8927,0.8927,0.7884,5
What are the common traditional dances in West Saudi Arabia?,West,WEST.csv,Open-ended,Common,Entertainment,0.8921,0.8921,0.8157,5
What is the common traditional music in West Saudi Arabia?,West,WEST.csv,Open-ended,Common,Entertainment,0.8801,0.8801,0.8277,5
What is the common traditional craft in West Saudi Arabia?,West,WEST.csv,Open-ended,Common,Crafts and Work,0.8632,0.8632,0.8069,5
What is the name of the items the bride buys for her wedding in West Saudi Arabia?,West,WEST.csv,Open-ended,Common,Dating,0.785,0.785,0.7027,5
What is the average amount of dowry presented to the wife in Saudi Arabia?,West,WEST.csv,Open-ended,Common,Dating,0.8766,0.8766,0.6614,5
"How can ""Hubb Soup"" be classified as a traditional Saudi stew, and what complementary foods are served with it?",West,WEST.csv,Open-ended,Specialized,Food,0.934,0.934,0.7355,5
What is the name of a common drink in Western Saudi Arabia during Ramadan?,West,WEST.csv,Open-ended,Specialized,Food,0.8382,0.8382,0.7796,5
What type of rice turns brown and is always served with fried or grilled fish in West Saudi Arabia?,West,WEST.csv,Open-ended,Specialized,Food,0.9058,0.9058,0.7078,5
What are the most famous pastries in the Western region of Saudi Arabia?,West,WEST.csv,Open-ended,Specialized,Food,0.8937,0.8937,0.7875,5
"What is the name of a famous spice blend in Madinah, Saudi Arabia, known for its distinctive flavor and essential use in local dishes?",West,WEST.csv,Open-ended,Specialized,Food,0.9157,0.9157,0.7423,5
What is the name of a common drink in Western Saudi Arabia in winter?,West,WEST.csv,Open-ended,Specialized,Food,0.8326,0.8326,0.7903,5
What is the method of greeting a guest in the Western region?,West,WEST.csv,Open-ended,Specialized,Languages and Communication,0.7791,0.7791,0.5993,5
What is the financial amount that the mother of the bride receives upon the marriage contract?,West,WEST.csv,Open-ended,Specialized,Dating,0.7747,0.7747,0.53,5
What is the name of the surah in the Quran that is read to declare engagement in West Saudi Arabia?,West,WEST.csv,Open-ended,Specialized,Dating,0.7932,0.7932,0.6207,5
What is the name of the event that happens to the bride before the wedding in West Saudi Arabia?,West,WEST.csv,Open-ended,Specialized,Dating,0.835,0.835,0.6891,5
What popular drink is usually served to celebrate the Islamic New Year in West Saudi Arabia?,West,WEST.csv,Open-ended,Specialized,Celebration,0.8497,0.8497,0.7634,5
What is the traditional breakfast dish in Eid Al-Adha?,West,WEST.csv,Open-ended,Specialized,Celebration,0.8219,0.8219,0.7549,5
What is the name of a family gathering that happens before Ramadan?,West,WEST.csv,Open-ended,Specialized,Celebration,0.8253,0.8253,0.6106,5
Where do the people of Mecca usually go the night the pilgrims spend the night at Arafat?,West,WEST.csv,Open-ended,Specialized,Celebration,0.839,0.839,0.6382,5
Which Saudi province is famous for rose distillation and producing rose water?,West,WEST.csv,Open-ended,Specialized,Crafts and Work,0.8643,0.8643,0.6529,5
"What is the name of the person responsible for assisting pilgrims coming from outside Saudi Arabia, guiding them from their arrival in Mecca until their departure?",West,WEST.csv,Open-ended,Specialized,Crafts and Work,0.8721,0.8721,0.6833,5
What is the name of the traditional job in Mecca that involved providing water to pilgrims and worshippers?,West,WEST.csv,Open-ended,Specialized,Crafts and Work,0.8833,0.8833,0.6977,5
Which regions of Saudi Arabia is the game of Carrom specifically known?,West,WEST.csv,Open-ended,Specialized,Entertainment,0.8929,0.8929,0.7404,5
"What is the ""Kasrah"" in the context of the ""Harabi Dance""?",West,WEST.csv,Open-ended,Specialized,Entertainment,0.8728,0.8728,0.6215,5
"In which region of Saudi Arabia is the ""Al-Majroor"" dance a popular folkloric tradition?",West,WEST.csv,Open-ended,Specialized,Entertainment,0.9081,0.9081,0.8283,5
"Where is the dance ""Al-Ashouri"" famous in Saudi Arabia?",West,WEST.csv,Open-ended,Specialized,Entertainment,0.8561,0.8561,0.7742,5
What is the most common dish in the west of Saudi Arabia?,West,WEST.csv,MCQ (one correct),Common,Food,0.869,0.869,0.8304,5
What is the most popular sweet in the west of Saudi Arabia?,West,WEST.csv,MCQ (one correct),Common,Food,0.8521,0.8521,0.7684,5
What is the most common traditional street food in the west of Saudi Arabia?,West,WEST.csv,MCQ (one correct),Common,Food,0.8506,0.8506,0.8094,5
What is the most common breakfast dish in the west of Saudi Arabia?,West,WEST.csv,MCQ (one correct),Common,Food,0.8488,0.8488,0.8149,5
What is the most common traditional drink in the west of Saudi Arabia?,West,WEST.csv,MCQ (one correct),Common,Food,0.8609,0.8609,0.8068,5
What is the traditional breakfast dish during Eid Al-Fitr in the west of Saudi Arabia?,West,WEST.csv,MCQ (one correct),Common,Celebration,0.905,0.905,0.7946,5
What is the traditional clothing for men in the west of Saudi Arabia?,West,WEST.csv,MCQ (one correct),Common,Clothes,0.8712,0.8712,0.8371,5
What is the traditional clothing for women in the west of Saudi Arabia?,West,WEST.csv,MCQ (one correct),Common,Clothes,0.8886,0.8886,0.8332,5
What are the common traditional dances in the west of Saudi Arabia?,West,WEST.csv,MCQ (one correct),Common,Entertainment,0.9005,0.9005,0.8269,5
What is the common traditional music in central Saudi Arabia?,West,WEST.csv,MCQ (one correct),Common,Entertainment,0.8794,0.8794,0.8043,5
What is the common traditional craft in the west of Saudi Arabia?,West,WEST.csv,MCQ (one correct),Common,Crafts and Work,0.8691,0.8691,0.8121,5
What is the name of the items the bride buys for her wedding in west Saudi Arabia?,West,WEST.csv,MCQ (one correct),Common,Dating,0.785,0.785,0.7027,5
What is the average amount of dowry presented to the wife in Saudi Arabia?,West,WEST.csv,MCQ (one correct),Common,Dating,0.8766,0.8766,0.6614,5
What type of rice turns brown and is always served with fried or grilled fish in West Saudi Arabia?,West,WEST.csv,MCQ (one correct),Specialized,Food,0.9058,0.9058,0.7078,5
What is the name of a common drink in Western Saudi Arabia during Ramadan?,West,WEST.csv,MCQ (one correct),Specialized,Food,0.8382,0.8382,0.7796,5
"What is the name of a famous spice blend in Madinah, Saudi Arabia, known for its distinctive flavor and essential use in local dishes?",West,WEST.csv,MCQ (one correct),Specialized,Food,0.9157,0.9157,0.7423,5
What is the name of a common drink in Western Saudi Arabia in winter?,West,WEST.csv,MCQ (one correct),Specialized,Food,0.8326,0.8326,0.7903,5
"How can “Hubb Soup” be classified as a traditional Saudi stew, and what complementary foods are served with it?",West,WEST.csv,MCQ (one correct),Specialized,Food,0.9327,0.9327,0.7304,5
What are the most famous pastries in the Western region of Saudi Arabia?,West,WEST.csv,MCQ (one correct),Specialized,Food,0.8937,0.8937,0.7875,5
What popular drink is usually served to celebrate the Islamic New Year in West Saudi Arabia?,West,WEST.csv,MCQ (one correct),Specialized,Celebration,0.8497,0.8497,0.7634,5
What is the name of a family gathering that happens before Ramadan?,West,WEST.csv,MCQ (one correct),Specialized,Celebration,0.8253,0.8253,0.6106,5
What is the traditional breakfast dish in Eid Al-Adha?,West,WEST.csv,MCQ (one correct),Specialized,Celebration,0.8219,0.8219,0.7549,5
What is the name of the traditional job in Mecca that involved providing water to pilgrims and worshippers?,West,WEST.csv,MCQ (one correct),Specialized,Crafts and Work,0.8833,0.8833,0.6977,5
Which Saudi province is famous for rose distillation and producing rose water?,West,WEST.csv,MCQ (one correct),Specialized,Crafts and Work,0.8643,0.8643,0.6529,5
"What is the name of the person responsible for assisting pilgrims coming from outside Saudi Arabia, guiding them from their arrival in Mecca until their departure?",West,WEST.csv,MCQ (one correct),Specialized,Crafts and Work,0.8721,0.8721,0.6833,5
Which regions of Saudi Arabia is the game of Carrom specifically known?,West,WEST.csv,MCQ (one correct),Specialized,Entertainment,0.8929,0.8929,0.7404,5
What is the “Kasrah” in the context of the “Harabi Dance”?,West,WEST.csv,MCQ (one correct),Specialized,Entertainment,0.8765,0.8765,0.6279,5
In which region of Saudi Arabia is the “Al-Majroor” dance a popular folkloric tradition?,West,WEST.csv,MCQ (one correct),Specialized,Entertainment,0.9088,0.9088,0.8289,5
Where is the dance “Al-Ashouri” famous in Saudi Arabia?,West,WEST.csv,MCQ (one correct),Specialized,Entertainment,0.8617,0.8617,0.7798,5
What is the method of greeting a guest in the Western region?,West,WEST.csv,MCQ (one correct),Specialized,Languages and Communication,0.7791,0.7791,0.5993,5
What is the name of the event that happens to the bride before the wedding in West Saudi Arabia?,West,WEST.csv,MCQ (one correct),Specialized,Dating,0.835,0.835,0.6891,5
What is the name of the surah in the Quran that is read to declare engagement in West Saudi Arabia?,West,WEST.csv,MCQ (one correct),Specialized,Dating,0.7932,0.7932,0.6207,5
What is the financial amount that the mother of the bride receives upon the marriage contract?,West,WEST.csv,MCQ (one correct),Specialized,Dating,0.7747,0.7747,0.53,5
Where do the people of Mecca usually go the night the pilgrims spend the night at Arafat during the Hajj days?,West,WEST.csv,MCQ (one correct),Specialized,Celebration,0.8623,0.8623,0.636,5
What color does the red “Mabroom” date tend to?,West,WEST.csv,MCQ (one correct),Specialized,Food,0.7592,0.7592,0.3635,5
What is the name of the dish prepared by the people of Medina for Eid breakfast?,West,WEST.csv,MCQ (one correct),Specialized,Food,0.8305,0.8305,0.6769,5
What accompanies the “Harabi Dance”?,West,WEST.csv,MCQ (multiple correct),Specialized,Entertainment,0.7323,0.7323,0.5885,5
The “Yalli Dance” is a traditional group folk dance known in the western region of Saudi Arabia. In which areas is it performed?,West,WEST.csv,MCQ (multiple correct),Specialized,Entertainment,0.9345,0.9345,0.7545,5
What is the traditional attire worn by the “Jassis” in Saudi Arabia?,West,WEST.csv,MCQ (multiple correct),Specialized,Clothes,0.866,0.866,0.7095,5
What is the common traditional craft in the west of Saudi Arabia?,West,WEST.csv,MCQ (multiple correct),Specialized,Crafts and Work,0.8691,0.8691,0.8121,5
